,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
01-01-2015,56276,98438,99629,44495,62699,39038,65930,76880,13011,29001,6445,6637,2831,1243,6691,0895,4220,6617,7820,2554,019,447,832,68,97,49,94
02-01-2015,84125,09339,45794,57255,60396,53581,62929,72567,77402,74732,6835,1518,5354,3204,0322,9359,9002,9899,6468,3547,893,383,547,61,59,14,22
03-01-2015,41864,58410,11546,05156,92963,16959,27373,37793,05955,65496,3872,1333,8008,9337,0744,7001,9831,1906,4575,8990,944,880,446,77,95,98,14
04-01-2015,91713,56085,28192,21640,91110,62127,80104,29770,42091,64621,0844,7461,6306,7677,0661,4628,5483,6743,8382,4279,582,147,236,35,56,87,96
05-01-2015,65001,51668,36055,02047,04669,74988,04974,87596,21680,98000,0524,8750,2217,2368,8773,6831,7239,0229,9945,8477,961,420,635,29,24,02,74
06-01-2015,21705,08723,88030,21740,90893,83963,74345,38825,90880,68155,5321,7364,4189,0435,8404,3914,1366,8532,5049,5521,997,977,452,35,38,12,68
07-01-2015,08008,83013,67116,44985,54009,60702,87189,40663,19217,92698,9187,9244,8719,0782,9978,4791,4461,6440,4568,1646,281,572,528,56,76,13,85
08-01-2015,98246,71675,73677,60972,86133,01603,63492,31403,75519,36844,3225,2740,0868,6978,8862,0174,8678,3209,0608,4798,372,899,101,89,29,24,85
09-01-2015,41262,14787,39679,53081,87886,22178,35012,03170,11584,45584,0557,1331,5631,5673,3406,5144,3920,9431,4718,2849,402,621,639,93,36,02,45
10-01-2015,43895,47759,57520,67178,31461,10233,78893,51691,47761,49168,5559,3821,3329,1818,0122,5976,7086,3483,8436,3982,971,758,678,20,73,39,59
11-01-2015,89443,67458,98292,71818,18372,62804,62977,40086,51825,61239,6728,7510,0220,4490,4007,3125,7321,3454,2185,4261,560,603,354,92,93,86,28
12-01-2015,02476,87385,32389,31980,98068,20980,05031,03715,54043,49111,4491,2833,2029,3601,2604,0230,6490,0605,0117,7329,800,049,350,13,42,27,11
13-01-2015,89091,34576,59392,94422,41558,75760,11841,47139,69025,52892,0311,9849,0363,1630,3716,6841,8347,5163,9921,0273,368,062,305,39,52,65,24
14-01-2015,62988,11757,69566,59256,82972,43126,92901,71602,21333,55561,7690,3904,7999,7417,4571,6263,9887,7310,9999,9324,885,765,535,65,31,95,89
15-01-2015,29806,91566,43428,30789,98086,48765,90889,36928,17001,82193,8455,5138,6551,8007,9740,7275,8558,8128,5887,0822,417,659,022,99,59,84,82
16-01-2015,72662,87718,99839,97826,18427,44029,04195,55500,86127,57803,0588,1493,6730,0979,1060,9708,6349,2049,6004,8994,309,078,144,23,63,13,56
17-01-2015,02191,83111,78128,76166,98771,34396,29384,97095,09783,34039,3956,2078,0393,0175,2057,2359,2942,4470,7849,4957,123,279,070,33,53,06,81
18-01-2015,65758,98399,61200,35317,90830,66737,87020,88488,96692,66558,6559,5276,4376,8687,1613,4928,8573,1058,8249,5723,917,206,336,69,39,74,87
19-01-2015,78933,76717,17176,75436,47900,22566,20716,34652,84193,74216,8372,2661,3421,0375,1966,5394,9833,8686,7232,8718,469,232,132,94,06,01,04
20-01-2015,64256,13431,55791,25505,61251,79591,81944,65027,95149,32545,4295,0511,9923,7310,6415,5631,3090,3878,3867,4455,557,451,694,38,34,19,74
21-01-2015,54831,15132,41347,13743,54672,72914,30531,90411,54476,58291,0709,8308,4178,0704,0185,7840,0001,9775,1064,1788,797,181,800,37,34,00,40
22-01-2015,24290,16889,96638,22775,57459,05386,06524,27291,19575,73191,5317,7114,7532,4199,9417,8489,1716,6474,4469,7586,060,065,660,17,71,94,42
23-01-2015,98700,93903,58754,03208,70838,43822,71703,25626,28953,34692,7548,5291,3285,6584,2563,2745,4591,8339,2035,4423,688,145,628,11,61,45,94
24-01-2015,59303,50032,60248,01464,98994,58788,09139,24554,55473,43829,0890,0022,1860,4420,0946,4558,1814,2795,9531,6832,274,207,951,18,38,64,78
25-01-2015,83725,97127,76993,44023,79526,60880,43723,07278,83490,90874,3804,1552,8702,1584,6618,0499,7182,9325,9945,0564,881,467,688,32,17,33,56
26-01-2015,25419,20800,11926,10027,50319,89339,00681,11772,32366,76398,5769,2432,3365,3691,1052,4637,0972,8507,0234,2855,737,694,295,53,96,84,02
27-01-2015,89188,72254,42972,32331,92666,02546,60558,78229,31003,47559,3895,5463,7746,8491,7924,1329,7010,4779,3252,2113,191,762,107,91,81,85,55
28-01-2015,43550,05637,74645,75309,17426,88487,46412,71843,79280,04387,6065,8997,2584,1674,0825,1697,4624,0272,7831,9894,921,145,834,59,28,69,30
