,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
01-01-2015,76,38,29,95,99,38,30,80,11,1,45,37,31,43,91,95,20,17,20,54,19,47,32,68,97,49,94
02-01-2015,25,39,94,55,96,81,29,67,2,32,35,18,54,4,22,59,2,99,68,47,93,83,47,61,59,14,22
03-01-2015,64,10,46,56,63,59,73,93,55,96,72,33,8,37,44,1,31,6,75,90,44,80,46,77,95,98,14
04-01-2015,13,85,92,40,10,27,4,70,91,21,44,61,6,77,61,28,83,43,82,79,82,47,36,35,56,87,96
05-01-2015,1,68,55,47,69,88,74,96,80,0,24,50,17,68,73,31,39,29,45,77,61,20,35,29,24,2,74
06-01-2015,5,23,30,40,93,63,45,25,80,55,21,64,89,35,4,14,66,32,49,21,97,77,52,35,38,12,68
07-01-2015,8,13,16,85,9,2,89,63,17,98,87,44,19,82,78,91,61,40,68,46,81,72,28,56,76,13,85
08-01-2015,46,75,77,72,33,3,92,3,19,44,25,40,68,78,62,74,78,9,8,98,72,99,1,89,29,24,85
09-01-2015,62,87,79,81,86,78,12,70,84,84,57,31,31,73,6,44,20,31,18,49,2,21,39,93,36,2,45
10-01-2015,95,59,20,78,61,33,93,91,61,68,59,21,29,18,22,76,86,83,36,82,71,58,78,20,73,39,59
11-01-2015,43,58,92,18,72,4,77,86,25,39,28,10,20,90,7,25,21,54,85,61,60,3,54,92,93,86,28
12-01-2015,76,85,89,80,68,80,31,15,43,11,91,33,29,1,4,30,90,5,17,29,0,49,50,13,42,27,11
13-01-2015,91,76,92,22,58,60,41,39,25,92,11,49,63,30,16,41,47,63,21,73,68,62,5,39,52,65,24
14-01-2015,88,57,66,56,72,26,1,2,33,61,90,4,99,17,71,63,87,10,99,24,85,65,35,65,31,95,89
